zip_year,count
10010 2015,241
10011 2015,434
10012 2015,371
10013 2015,549
10014 2015,402
10016 2015,434
10017 2015,317
10018 2015,299
10019 2015,547
10020 2015,37
10021 2015,192
10022 2015,406
10023 2015,206
10024 2015,177
10025 2015,233
10026 2015,69
10027 2015,145
10028 2015,204
10029 2015,185
10030 2015,29
10031 2015,79
10032 2015,95
10033 2015,96
10034 2015,86
10035 2015,61
10036 2015,495
10037 2015,29
10038 2015,209
10039 2015,29
10040 2015,52
10044 2015,9
10055 2015,2
10065 2015,118
10069 2015,5
10075 2015,84
10103 2015,4
10105 2015,6
10106 2015,1
10112 2015,17
10115 2015,1
10118 2015,8
10119 2015,22
10121 2015,2
10123 2015,2
10128 2015,158
10153 2015,5
10155 2015,2
10158 2015,1
10165 2015,1
10167 2015,8
10168 2015,3
10169 2015,11
10170 2015,2
10171 2015,6
10172 2015,1
10173 2015,2
10174 2015,3
10176 2015,1
10177 2015,2
10178 2015,1
10271 2016,2
10279 2016,3
10280 2016,6
10281 2016,20
10282 2016,24
12345 2016,2
10463 2016,119
10001 2016,440
10002 2016,565
10003 2016,620
10004 2016,135
10005 2016,74
10006 2016,52
10007 2016,127
10009 2016,277
10010 2016,226
10011 2016,457
10012 2016,373
10013 2016,545
10014 2016,403
10016 2016,442
10017 2016,331
10018 2016,304
10019 2016,540
10020 2016,35
10021 2016,182
10022 2016,407
10023 2016,193
10024 2016,188
10025 2016,235
10026 2016,73
10027 2016,144
10028 2016,204
10029 2016,184
10030 2016,38
10031 2016,91
10032 2016,96
10033 2016,92
10034 2016,94
10035 2016,69
10036 2016,499
10037 2016,29
10038 2016,216
10039 2016,29
10040 2016,59
10044 2016,8
10055 2016,1
10065 2016,123
10069 2016,5
10075 2016,83
10103 2016,4
10105 2016,6
10112 2016,18
10115 2016,1
10118 2016,8
10119 2016,22
10121 2016,7
10123 2016,5
10128 2016,157
10152 2016,1
10153 2016,4
10155 2016,3
10165 2016,1
10167 2016,8
10168 2016,4
10169 2016,15
10170 2016,2
10171 2016,7
10172 2016,1
10173 2016,2
10174 2016,2
10176 2016,1
10177 2016,3
10178 2016,2
10280 2017,9
10281 2017,29
10282 2017,15
10463 2017,123
10001 2017,470
10002 2017,588
10003 2017,643
10004 2017,128
10005 2017,77
10006 2017,48
10007 2017,134
10009 2017,290
10010 2017,240
10011 2017,467
10012 2017,387
10013 2017,535
10014 2017,404
10016 2017,432
10017 2017,347
10018 2017,334
10019 2017,588
10020 2017,31
10021 2017,202
10022 2017,426
10023 2017,198
10024 2017,182
10025 2017,243
10026 2017,81
10027 2017,152
10028 2017,204
10029 2017,188
10030 2017,38
10031 2017,93
10032 2017,93
10033 2017,100
10034 2017,97
10035 2017,75
10036 2017,508
10037 2017,28
10038 2017,209
10039 2017,35
10040 2017,69
10044 2017,10
10065 2017,133
10069 2017,5
10075 2017,84
10103 2017,5
10105 2017,7
10112 2017,19
10118 2017,11
10119 2017,26
10121 2017,8
10128 2017,156
10153 2017,4
10155 2017,4
10165 2017,3
10167 2017,9
10168 2017,4
10169 2017,16
10171 2017,4
10174 2017,4
