zip_code,year_month,bait,clean_ups,compliance,initial,sighting,zip_year_month
10001,2016-06,1.0,0.0,1.0,4.0,2.0,10001 2016-06
10001,2016-07,5.0,0.0,0.0,2.0,5.0,10001 2016-07
10001,2016-08,12.0,0.0,2.0,9.0,14.0,10001 2016-08
10001,2016-09,5.0,0.0,3.0,8.0,12.0,10001 2016-09
10001,2016-10,5.0,0.0,5.0,6.0,11.0,10001 2016-10
10001,2016-11,5.0,0.0,4.0,7.0,8.0,10001 2016-11
10001,2016-12,4.0,0.0,0.0,3.0,6.0,10001 2016-12
10001,2017-01,0.0,0.0,1.0,441.0,2.0,10001 2017-01
10001,2017-02,2.0,0.0,19.0,5.0,2.0,10001 2017-02
10001,2017-03,9.0,0.0,1.0,4.0,7.0,10001 2017-03
10001,2017-04,14.0,0.0,5.0,4.0,6.0,10001 2017-04
10001,2017-05,5.0,0.0,1.0,5.0,7.0,10001 2017-05
10001,2017-06,1.0,0.0,4.0,13.0,9.0,10001 2017-06
10001,2017-07,1.0,0.0,4.0,12.0,20.0,10001 2017-07
10001,2017-08,0.0,0.0,3.0,410.0,20.0,10001 2017-08
10001,2017-09,10.0,0.0,32.0,48.0,6.0,10001 2017-09
10001,2017-10,22.0,0.0,0.0,8.0,13.0,10001 2017-10
10001,2017-11,9.0,0.0,3.0,5.0,6.0,10001 2017-11
10001,2017-12,5.0,0.0,18.0,8.0,6.0,10001 2017-12
10001,2018-01,0.0,0.0,0.0,6.0,6.0,10001 2018-01
10001,2018-02,3.0,0.0,3.0,0.0,1.0,10001 2018-02
10001,2018-03,4.0,0.0,3.0,10.0,20.0,10001 2018-03
10001,2018-04,0.0,0.0,8.0,10.0,6.0,10001 2018-04
10001,2018-05,7.0,0.0,4.0,7.0,11.0,10001 2018-05
10001,2018-06,8.0,0.0,2.0,311.0,5.0,10001 2018-06
10001,2018-07,5.0,0.0,13.0,136.0,6.0,10001 2018-07
10001,2018-08,8.0,0.0,9.0,3.0,3.0,10001 2018-08
10001,2018-09,9.0,0.0,2.0,8.0,3.0,10001 2018-09
10001,2018-10,4.0,0.0,2.0,6.0,9.0,10001 2018-10
10001,2018-11,6.0,0.0,2.0,9.0,3.0,10001 2018-11
10001,2018-12,12.0,0.0,11.0,38.0,6.0,10001 2018-12
10002,2010-01,8.0,0.0,28.0,91.0,6.0,10002 2010-01
10002,2010-02,13.0,0.0,0.0,483.0,3.0,10002 2010-02
